entry,text,tagger,policy
1,"I 'm no longer an account holder of SunTrust. I used to be until I realized how unethical of a company that is. Let me explain to you why I believe this : For years, SunTrust advertised and promoted in big letters their XXXX XXXX debit card. With that card, an account holder could earn XXXX mile for every {$1.00} spent ( for debit and credit card transactions ). SunTrust even advertised that they would not put a cap on a cardholder 's ability to earn miles.   Over the past XXXX months, SunTrust must have reviewed their debit card portfolio and what they did as a result of their review is shocking : They closed all account holders who had earned above average number of miles regardless of the types of products they purchased, regardless of the length of their relationship with SunTrust, and regardless of the amount of money in their checking accounts. I know of at least XXXX cases where SunTrust contacted XXXX XXXX to have the miles in the cardholder 's account reversed!!!   SunTrust is clearly engaging in what is commonly referred to as  bait and switch '', a marketing strategy of getting customers to sign up for a product ( that, by the way, carries a yearly fee of {$75.00} ) and then, once a certain number of miles are earned, the account is closed. This is unacceptable and a regulatory violation.   If SunTrust does not immediately stop closing accounts and reversing miles already earned, I 'll notify a well-known XXXX XXXX lawfirm to pursue a class action lawsuit against SunTrust and its XXXX and XXXX individually.   ",cthieme@purdue.edu,1
6,"There are two components to the bank fraud that I discovered this morning.  1 ) Wells Fargo changed my corporate bank account number without advising me.  2 ) A customer attempted to send me an electronic payment last Friday via ACH. I never received the payment. After contacting Wells Fargo, they explained that my bank account changed. I then attempted to determine when this changed by looking at the previous bank statements. When I pulled my XXXX XX/XX/2015 bank statement from their online banking system the statement reflected the NEW account number. I then pulled a copy of my XXXX XX/XX/2015 statement from my local drive which I had downloaded back in XXXX. The XXXX statements ARE DIFFERENT. Meaning, that the Wells Fargo Online Banking system is displaying incorrect banking information to their consumers ( i.e. fraud ). It is not clear because no one has investigated this whether this is the result of fraud, weak internal controls in their IT process or some other reason. No consumer should assume that the information they are receiving from Wells Fargo is credible or accurate.   ",dai77@purdue.edu,1
8,"I have a checking account with JP Morgan Chase ending in XXXX.  I use this account for my Social Security XXXX direct deposit.  Financially things are not good for me ; I just received a Chapter XXXX Discharge of debt and I live check to check.  Every now and then I get hit with an overdraft because certain transactions charged to my account as charge not a debit are deducted from my account and then a few days later the charge completely disappears from online statement and is credited to my account as usable funds and then pops up in the ledger again for the final charge against my account.  My branch tells me the problem is created on the merchant 's side The most recent occurrence I even called the bank to inquire if I had any outstanding charges against my account that were not itemized and any amounts that were not included in my balance.  I was told by customer service that according to their ledger I had enough money in my account to cash the check to transfer my money to another account for my mortgage payment.  Chase has always been good to me and reimburses the OD FEES, but they limit their customers to XXXX in a one year period, My complaint is not against the bank nor the merchant, it is the procedure that I feel needs a look at.  My other bank, a credit union, does not alter the usable number, all transactions are withheld from my account and the ledger shows a greater total but a lesser usable amount especially if the merchant enters the transaction as charge and not a debit ; my total amount and usable amount even up when all transactions have actually been paid ; this is the fair/upfront way of managing the accounts of the customers.  That is my complaint/inquiry.   ",cthieme@purdue.edu,1
16,"I was informed by an official of the bank ( Citizens Bank XXXX in Delaware in XXXX 2013 that since I have my XXXX-weekly check direct-deposited into XXXX of my accounts, I will not incur any charges whatsoever regarding balances etc. but surprisingly, the bank has stealthily resorted to charging over $ 4 monthly for almost a year claiming the balance on XXXX of my accounts is less than {$200.00}. This is quite deceptive and fraudulent.   ",flanagak@purdue.edu,0
18,The bank erroneously processed credit/ debit in my bank account from a merchant. They are trying to convince me that the amount cancels itself out. It looks ( according to the online ledger ) that I was refunded and then they were given the money back? The amount is for XXXX USD.   ,li470@purdue.edu,0
19,"I am a TD Bank account holder. I receive overdrafts for what I believe are not fair practices. If I make a charge that will overdraft my account, it is put in pending. If that same day or the next day that I notice it, I make a deposit, that same deposit is put as pending. When they clear, even if cleared the same day or the deposit clears prior to the expense, an overdraft fee is assessed.   Additionally, it becomes difficult to track because of the disjointed design of the banking statements and online account view.   The statement separates deposits, expenses and daily balances. The online view will show as things clear ( my account has not gone negative according to just the last week, yet I 've been charged almost {$200.00} in overdraft fees ).   I attempted to speak to TD about this and they refuse to acknowledge the usurious nature of these practices.   ",zheng216@purdue.edu,0
21,"I opened an account at the PNC Bank XXXX XXXX, 2015. I received a document showing a Routing number of XXXX, a {$25.00} deposit into a Virtual Wallet Account and a confirmation number XXXX. I called PNC, at XXXX about not having received an account number. They could not find my account using the confirmation number or my social security number. They have {$25.00} that was used as the initial deposit.   ",agosnell@purdue.edu,0
34,"Navy Federal Credit Union blocked access to my checking, savings, IRA and credit card accounts. I 've called for the past four weeks and I 've been informed that only one person can explain what is going on. I 've left numerous voicemails for XXXX in their Security Department and he has not returned my calls and no one can provide me with answers on why I am not able to access my account.   ",jdenhar@purdue.edu,0
39,"I was contemplating cashing in some US Savings Bonds. Went into my local Santander Branch in XXXX XXXX and the manager went on line, pulled the values and I then selected several bonds to redeem based on the info presented. I redeemed XXXX bonds out of XXXX for {$1700.00}. The amount was put into my account and all was fine. 1 week later i received a call from the manager that there was an  website system error '' and that the bonds were only worth {$750.00}. Before I could get there, they went into my account and took back the difference. I asked for my bonds back and was told your out of luck. When i showed the Santander printouts to my tax person he confirmed that there was no website error, the XXXX pulled the wrong screen. The values she pulled were for final maturities not current value. Based on this I am out 4 % bonds and the majority of the money was taken back. Santander has been bouncing me around different people with no resolve. Everyone makes a mistake, they need to admit the managers error and take responsibility. I have gotten responses ranging from  your out of luck '' to  You should have done more homework.   ",afrances@purdue.edu,0
41,"I filed a fraud complaint after discovering that my daughter had been skimming money out of my bank accounts,XXXX. The bank, Suntrust, after issuing new debit cards, said I was good to go. They had also promissed to return any fees incured. After returning 72 $ of XXXX {$.00} They closed my accounts, without informing me. I am a XXXX veteran living on social security. XXXX is delivered on the XXXX of each monty.The provisional credits were finalizes. It will take me a month to get it back. They are denying me the money that is left in my accountssaying I have to wait 14 business days to get it back. I have no food. My daughter and grandaughter are dependant on me and I dont have enough for her diapers. They also are not returning the other 72 $ of fees XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX Ga XXXX. Suntrust account # XXXX will be needing food bank help by the weekend.   ",li470@purdue.edu,1
